Label:en,Label:pt,Wiki ID
Photographic print,Fotografia em papel,Q56055236
Photomechanical print,Impressão fotomecânica,Q100575647
Glass plate negative,Negativo de vidro,Q85621807
Glass diapositive,Diapositivo de vidro,Q97570383
Autochrome,Autocromo,Q355674
Albumine,Albumina,Q107387614
Silver gelatin,Gelatina de prata,Q172984
Collodion,Colódio,Q904614
Lantern slide,Slide de lanterna mágica,Q87714739
Outros,Outros,Q0000
DIAPOSITIVO flexível / Nitrato,DIAPOSITIVO flexível / Nitrato,Q0000
FOTOGRAFIA,FOTOGRAFIA,Q0000
FOTOGRAFIA/ Vidro,FOTOGRAFIA/ Vidro,Q0000
NEGATIVO flexível,NEGATIVO flexível,Q0000
NEGATIVO/ Papel,NEGATIVO/ Papel,Q0000
AMBROTIPIA/ Prata,AMBROTIPIA/ Prata,Q0000
COLOTIPIA/ Pigmento,COLOTIPIA/ Pigmento,Q0000
FOTOGRAFIA INSTANTÂNEA (Polaroid)/ Corante,FOTOGRAFIA INSTANTÂNEA (Polaroid)/ Corante,Q0000
FOTOGRAVURA/ Pigmento,FOTOGRAVURA/ Pigmento,Q0000
GELATINA/ Corante,GELATINA/ Corante,Q0000
MEIO-TOM/ Pigmento,MEIO-TOM/ Pigmento,Q0000
Pigmento,Pigmento,Q0000
