dcterms:identifier,dcterms:title,dcterms:description,dcterms:creator,dcterms:date,dcterms:available,dcterms:type:en,dcterms:type:pt,dcterms:medium:pt,dcterms:medium:en,dcterms:format:pt,dcterms:format:en,dcterms:rights,dcterms:bibliographicCitation,dcterms:source,dcterms:hasVersion,latitude,longitude,schema:polygon,foaf:depicts,schema:width,schema:height,media,item_sets
001AAN005121,Vista do Pão de Açúcar,"O Pão de Açúcar visto da entrada da Barra. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",Anônimo,1910 circa,1905/1915,http://wikidata.org/wiki/Q125191 Photograph,http://wikidata.org/wiki/Q125191 Fotografia,http://wikidata.org/wiki/Q172984 Gelatina de prata,http://wikidata.org/wiki/Q172984 Silver gelatin,http://wikidata.org/wiki/Q56055236 Fotografia em papel,http://wikidata.org/wiki/Q56055236 Photographic print,,,http://acervos.ims.com.br/portals/#/detailpage/79130 Instituto Moreira Salles,www.wikidata.org/wiki/Q65620090 Wikidata,-22.94609,-43.14192,"POLYGON ((-43.14192 -22.946092, -43.278023 -23.040273, -43.281169 -23.036289, -43.284177 -23.032217, -43.287044 -23.02806, -43.289767 -23.023821, -43.292345 -23.019507, -43.294773 -23.015119, -43.297051 -23.010664, -43.299175 -23.006145, -43.301144 -23.001567, -43.302956 -22.996934, -43.304609 -22.992251, -43.3061 -22.987522, -43.30743 -22.982753, -43.308596 -22.977947, -43.309598 -22.97311, -43.310434 -22.968247, -43.311103 -22.963362, -43.311606 -22.95846, -43.311941 -22.953545, -43.312108 -22.948624, -43.312107 -22.9437, -43.311939 -22.938778, -43.311602 -22.933864, -43.311099 -22.928962, -43.310428 -22.924077, -43.309591 -22.919214, -43.308589 -22.914377, -43.307422 -22.909572, -43.306092 -22.904803, -43.305934 -22.904276, -43.14192 -22.946092))",http://www.wikidata.org/entity/Q224101 Baía de Guanabara,141.0,83.0,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001AAN005121.jpg,all||views||smapshot
001AAN005122,Ilha Fiscal,"Vista da Ilha Fiscal. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",Anônimo,1910 circa,1908/1909,http://wikidata.org/wiki/Q125191 Photograph,http://wikidata.org/wiki/Q125191 Fotografia,http://wikidata.org/wiki/Q172984 Gelatina de prata,http://wikidata.org/wiki/Q172984 Silver gelatin,http://wikidata.org/wiki/Q56055236 Fotografia em papel,http://wikidata.org/wiki/Q56055236 Photographic print,,,http://acervos.ims.com.br/portals/#/detailpage/79131 Instituto Moreira Salles,www.wikidata.org/wiki/Q65620091 Wikidata,-22.89496,-43.16647,"POLYGON ((-43.166474 -22.894957, -43.16553 -22.896532, -43.165585 -22.896558, -43.16564 -22.896583, -43.165696 -22.896606, -43.165752 -22.896628, -43.165809 -22.896648, -43.165867 -22.896667, -43.165926 -22.896683, -43.165985 -22.896698, -43.166045 -22.896712, -43.166105 -22.896723, -43.166165 -22.896733, -43.166226 -22.896741, -43.166287 -22.896747, -43.166348 -22.896752, -43.166409 -22.896755, -43.166471 -22.896756, -43.166532 -22.896755, -43.166593 -22.896752, -43.166654 -22.896748, -43.166715 -22.896742, -43.166776 -22.896734, -43.166837 -22.896724, -43.166897 -22.896713, -43.166956 -22.8967, -43.167016 -22.896685, -43.167074 -22.896669, -43.167132 -22.89665, -43.16719 -22.89663, -43.167246 -22.896609, -43.167258 -22.896604, -43.166474 -22.894957))",,141.0,83.0,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001AAN005122.jpg,all||views
001AAN005123,Ilha das Cobras,"Ilha das Cobras vista da baía. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",Anônimo,1910 circa,1905/1915,http://wikidata.org/wiki/Q125191 Photograph,http://wikidata.org/wiki/Q125191 Fotografia,http://wikidata.org/wiki/Q172984 Gelatina de prata,http://wikidata.org/wiki/Q172984 Silver gelatin,http://wikidata.org/wiki/Q56055236 Fotografia em papel,http://wikidata.org/wiki/Q56055236 Photographic print,,,http://acervos.ims.com.br/portals/#/detailpage/79132 Instituto Moreira Salles,www.wikidata.org/wiki/Q65620092 Wikidata,-22.89405,-43.166,"POLYGON ((-43.166004 -22.894054, -43.25272 -22.961346, -43.254972 -22.958803, -43.257136 -22.956197, -43.25921 -22.953529, -43.261192 -22.950803, -43.26308 -22.94802, -43.264872 -22.945185, -43.266566 -22.942299, -43.268161 -22.939365, -43.269654 -22.936387, -43.271046 -22.933366, -43.272334 -22.930308, -43.273516 -22.927213, -43.274593 -22.924085, -43.275562 -22.920929, -43.276423 -22.917745, -43.277176 -22.914538, -43.277818 -22.911311, -43.27835 -22.908067, -43.278771 -22.904809, -43.279081 -22.901541, -43.279279 -22.898265, -43.279365 -22.894986, -43.279368 -22.894512, -43.166004 -22.894054))",http://www.wikidata.org/entity/Q224101 Baía de Guanabara,141.0,83.0,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001AAN005123.jpg,all||views
001AAN005124,Rua Primeiro de Março,"Vista da rua Primeiro de Março, com a igreja do Carmo ao fundo. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",Anônimo,1910 circa,1905/1915,http://wikidata.org/wiki/Q125191 Photograph,http://wikidata.org/wiki/Q125191 Fotografia,http://wikidata.org/wiki/Q172984 Gelatina de prata,http://wikidata.org/wiki/Q172984 Silver gelatin,http://wikidata.org/wiki/Q56055236 Fotografia em papel,http://wikidata.org/wiki/Q56055236 Photographic print,,,http://acervos.ims.com.br/portals/#/detailpage/79133 Instituto Moreira Salles,www.wikidata.org/wiki/Q65620093 Wikidata,-22.90131,-43.17648,"POLYGON ((-43.176483 -22.901312, -43.170292 -22.904958, -43.170419 -22.905135, -43.170552 -22.905309, -43.170691 -22.905478, -43.170836 -22.905644, -43.170987 -22.905805, -43.171143 -22.905962, -43.171304 -22.906114, -43.17147 -22.906262, -43.171642 -22.906404, -43.171818 -22.906542, -43.171998 -22.906674, -43.172183 -22.906801, -43.172373 -22.906923, -43.172566 -22.907039, -43.172763 -22.90715, -43.172964 -22.907254, -43.173168 -22.907353, -43.173376 -22.907446, -43.173587 -22.907533, -43.1738 -22.907614, -43.174017 -22.907688, -43.174235 -22.907757, -43.174456 -22.907818, -43.174679 -22.907874, -43.174904 -22.907923, -43.17513 -22.907965, -43.175357 -22.908001, -43.175548 -22.908026, -43.176483 -22.901312))",http://www.wikidata.org/entity/Q2946148 Centro,141.0,83.0,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001AAN005124.jpg,all||views
001AAN005125,Quartel Central do Corpo de Bombeiros,"Vista de edificações que compõem o Corpo de Bombeiros. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",Anônimo,1910 circa,1905/1915,http://wikidata.org/wiki/Q125191 Photograph,http://wikidata.org/wiki/Q125191 Fotografia,http://wikidata.org/wiki/Q172984 Gelatina de prata,http://wikidata.org/wiki/Q172984 Silver gelatin,http://wikidata.org/wiki/Q56055236 Fotografia em papel,http://wikidata.org/wiki/Q56055236 Photographic print,,,http://acervos.ims.com.br/portals/#/detailpage/79134 Instituto Moreira Salles,www.wikidata.org/wiki/Q65620094 Wikidata,-22.90944,-43.18734,"POLYGON ((-43.187345 -22.909437, -43.187232 -22.911233, -43.187293 -22.911235, -43.187354 -22.911236, -43.187416 -22.911234, -43.187477 -22.911232, -43.187538 -22.911227, -43.187599 -22.91122, -43.18766 -22.911212, -43.18772 -22.911202, -43.18778 -22.91119, -43.18784 -22.911177, -43.187899 -22.911162, -43.187957 -22.911145, -43.188015 -22.911126, -43.188073 -22.911106, -43.188129 -22.911084, -43.188185 -22.911061, -43.18824 -22.911036, -43.188294 -22.911009, -43.188347 -22.910981, -43.188399 -22.910951, -43.18845 -22.91092, -43.1885 -22.910887, -43.188549 -22.910853, -43.188587 -22.910825, -43.187345 -22.909437))",,141.0,83.0,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001AAN005125.jpg,all||views
001AAN005126,Quartel Central do Corpo de Bombeiros,"Aspecto de uma das edificações do Corpo de Bombeiros. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",Anônimo,1910 circa,1905/1915,http://wikidata.org/wiki/Q125191 Photograph,http://wikidata.org/wiki/Q125191 Fotografia,http://wikidata.org/wiki/Q172984 Gelatina de prata,http://wikidata.org/wiki/Q172984 Silver gelatin,http://wikidata.org/wiki/Q56055236 Fotografia em papel,http://wikidata.org/wiki/Q56055236 Photographic print,,,http://acervos.ims.com.br/portals/#/detailpage/79135 Instituto Moreira Salles,www.wikidata.org/wiki/Q65620095 Wikidata,-22.90911,-43.18754,"POLYGON ((-43.187541 -22.909114, -43.1876 -22.910912, -43.187661 -22.910909, -43.187722 -22.910905, -43.187783 -22.910899, -43.187844 -22.910891, -43.187904 -22.910881, -43.187964 -22.91087, -43.188024 -22.910857, -43.188083 -22.910842, -43.188142 -22.910825, -43.1882 -22.910807, -43.188257 -22.910787, -43.188314 -22.910766, -43.18837 -22.910743, -43.188425 -22.910718, -43.188479 -22.910691, -43.188533 -22.910663, -43.188585 -22.910634, -43.188636 -22.910603, -43.188686 -22.910571, -43.188736 -22.910537, -43.188784 -22.910502, -43.18883 -22.910465, -43.188876 -22.910427, -43.18892 -22.910388, -43.188962 -22.910347, -43.189004 -22.910305, -43.189044 -22.910262, -43.189074 -22.910228, -43.187541 -22.909114))",,141.0,83.0,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001AAN005126.jpg,all||views
001AAN005127,Quartel Central do Corpo de Bombeiros,"Vista das edificações que compõem o Corpo de Bombeiros. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",Anônimo,1910 circa,1905/1915,http://wikidata.org/wiki/Q125191 Photograph,http://wikidata.org/wiki/Q125191 Fotografia,http://wikidata.org/wiki/Q172984 Gelatina de prata,http://wikidata.org/wiki/Q172984 Silver gelatin,http://wikidata.org/wiki/Q56055236 Fotografia em papel,http://wikidata.org/wiki/Q56055236 Photographic print,,,http://acervos.ims.com.br/portals/#/detailpage/79136 Instituto Moreira Salles,www.wikidata.org/wiki/Q65621321 Wikidata,-22.90904,-43.18749,"POLYGON ((-43.187488 -22.909038, -43.186913 -22.910757, -43.186972 -22.910773, -43.187031 -22.910787, -43.187091 -22.910799, -43.187151 -22.91081, -43.187212 -22.910819, -43.187273 -22.910826, -43.187334 -22.910831, -43.187395 -22.910835, -43.187456 -22.910836, -43.187518 -22.910836, -43.187579 -22.910835, -43.18764 -22.910831, -43.187701 -22.910826, -43.187762 -22.910819, -43.187823 -22.91081, -43.187883 -22.910799, -43.187943 -22.910787, -43.188002 -22.910773, -43.188061 -22.910757, -43.18812 -22.91074, -43.188177 -22.910721, -43.188234 -22.9107, -43.188291 -22.910678, -43.188346 -22.910654, -43.188401 -22.910628, -43.188404 -22.910627, -43.187488 -22.909038))",,141.0,83.0,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001AAN005127.jpg,all||views
001AAN005128,Fachada do Teatro Municipal,"Em estilo eclético, o Teatro Municipal foi desenhado por Francisco de Oliveira Passos, engenheiro e  filho do prefeito Pereira Passos. Foi inaugurado em 1909, como parte do conjunto arquitetônico das Obras de Reurbanização da Cidade do Rio de Janeiro, durante a prefeitura de Pereira Passos. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",Anônimo,1910 circa,1905/1915,http://wikidata.org/wiki/Q125191 Photograph,http://wikidata.org/wiki/Q125191 Fotografia,http://wikidata.org/wiki/Q172984 Gelatina de prata,http://wikidata.org/wiki/Q172984 Silver gelatin,http://wikidata.org/wiki/Q56055236 Fotografia em papel,http://wikidata.org/wiki/Q56055236 Photographic print,,,http://acervos.ims.com.br/portals/#/detailpage/79129 Instituto Moreira Salles,www.wikidata.org/wiki/Q65620097 Wikidata,-22.90958,-43.1762,"POLYGON ((-43.176196 -22.909585, -43.180928 -22.907079, -43.180841 -22.906944, -43.180748 -22.906811, -43.180651 -22.90668, -43.18055 -22.906553, -43.180445 -22.906428, -43.180335 -22.906307, -43.180221 -22.906189, -43.180103 -22.906074, -43.179982 -22.905963, -43.179856 -22.905855, -43.179727 -22.905751, -43.179595 -22.905651, -43.179459 -22.905554, -43.17932 -22.905462, -43.179178 -22.905374, -43.179033 -22.905289, -43.178885 -22.905209, -43.178734 -22.905134, -43.178581 -22.905063, -43.178426 -22.904996, -43.178268 -22.904933, -43.178109 -22.904876, -43.177947 -22.904823, -43.177784 -22.904775, -43.177619 -22.904731, -43.177453 -22.904692, -43.177285 -22.904658, -43.177269 -22.904655, -43.176196 -22.909585))",http://www.wikidata.org/entity/Q4828121 Avenida Rio Branco,141.0,83.0,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001AAN005128.jpg,all||views
001AAN005129,Palácio Monroe,"Fachada do Palácio Monroe, antiga sede do Senado Federal. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",Anônimo,1910 circa,1905/1915,http://wikidata.org/wiki/Q125191 Photograph,http://wikidata.org/wiki/Q125191 Fotografia,http://wikidata.org/wiki/Q172984 Gelatina de prata,http://wikidata.org/wiki/Q172984 Silver gelatin,http://wikidata.org/wiki/Q56055236 Fotografia em papel,http://wikidata.org/wiki/Q56055236 Photographic print,,,http://acervos.ims.com.br/portals/#/detailpage/79137 Instituto Moreira Salles,www.wikidata.org/wiki/Q65620098 Wikidata,-22.91158,-43.17545,"POLYGON ((-43.17545 -22.911583, -43.172034 -22.917996, -43.172254 -22.918092, -43.172478 -22.918181, -43.172704 -22.918264, -43.172934 -22.91834, -43.173165 -22.91841, -43.173399 -22.918472, -43.173635 -22.918528, -43.173873 -22.918577, -43.174112 -22.91862, -43.174353 -22.918655, -43.174595 -22.918683, -43.174837 -22.918704, -43.17508 -22.918719, -43.175324 -22.918726, -43.175568 -22.918726, -43.175811 -22.918719, -43.176054 -22.918705, -43.176297 -22.918684, -43.176539 -22.918656, -43.176779 -22.918621, -43.177019 -22.918579, -43.177256 -22.91853, -43.177492 -22.918475, -43.177726 -22.918412, -43.177958 -22.918343, -43.178187 -22.918267, -43.178414 -22.918184, -43.178638 -22.918095, -43.178808 -22.918022, -43.17545 -22.911583))",http://www.wikidata.org/entity/Q4828121 Avenida Rio Branco,141.0,83.0,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001AAN005129.jpg,all||views
001AAN005135,"Palácio Amarelo, em primeiro plano o Chafariz da Águia.","Vista do Palácio Municipal, atual prefeitura de Petrópolis. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",Anônimo,1910 circa,1905/1915,http://wikidata.org/wiki/Q125191 Photograph,http://wikidata.org/wiki/Q125191 Fotografia,http://wikidata.org/wiki/Q172984 Gelatina de prata,http://wikidata.org/wiki/Q172984 Silver gelatin,http://wikidata.org/wiki/Q56055236 Fotografia em papel,http://wikidata.org/wiki/Q56055236 Photographic print,,,http://acervos.ims.com.br/portals/#/detailpage/79138 Instituto Moreira Salles,www.wikidata.org/wiki/Q65620099 Wikidata,-22.50784,-43.17667,"POLYGON ((-43.176668 -22.507836, -43.528712 -22.743857, -43.536563 -22.733525, -43.544056 -22.72297, -43.551186 -22.712204, -43.557945 -22.701235, -43.564325 -22.690076, -43.570322 -22.678737, -43.575928 -22.66723, -43.58114 -22.655566, -43.58595 -22.643756, -43.590356 -22.631813, -43.594353 -22.619747, -43.597936 -22.607572, -43.601102 -22.595299, -43.603849 -22.58294, -43.606174 -22.570507, -43.608074 -22.558013, -43.609548 -22.54547, -43.610594 -22.532891, -43.611213 -22.520287, -43.611402 -22.507672, -43.611401 -22.507531, -43.176668 -22.507836))",http://www.wikidata.org/entity/Q2946148 Centro,141.0,83.0,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001AAN005135.jpg,all||views
