qid,P31,P31_a,Lpt-br,Dpt-br,Den,P571,qal1319,qal1326,P17,P1259,qal2044,qal7787,qal8208,P170,P186,P195,P217,P2079,P4036,P2049,P2048,P7835
,Q125191,Q35158,Largo da Carioca e Convento de Santo Antônio,Fotografia de Guilherme Santos,Photograph by Guilherme Santos,+1920-01-01T00:00:00Z/8|P580|+1915-01-01T00:00:00Z/9|P582|+1925-01-01T00:00:00Z/9,,,Q155,@-22.90678/-43.17762|P2044|9.73184U11573|P7787|-99.40527U28390|P8208|96.11973U28390,,,,Q55088608,Q97570383,Q71989864,002080Vol01Cx0119,Q172984,45.0U28390,110U174789,45U174789,83646
,Q125191,Q35158,Avenida Rio Branco,Fotografia de Guilherme Santos (002080RJN0712),Photograph by Guilherme Santos (002080RJN0712),+1920-01-01T00:00:00Z/8|P580|+1915-01-01T00:00:00Z/9|P582|+1925-01-01T00:00:00Z/9,,,Q155,@-22.90394/-43.17812|P2044|7.96802U11573|P7787|-4.60252U28390|P8208|97.05542U28390,,,,Q55088608,Q85621807,Q71989864,002080RJN0712,Q172984,45.0U28390,110U174789,45U174789,90821
,Q125191,Q35158,"Praia da Saudade e o Pavilhão dos Estados, da Exposição Nacional Comemorativa do 1º Centenário da Abertura dos Portos do Brasil",Fotografia de Guilherme Santos,Photograph by Guilherme Santos,+1908-01-01T00:00:00Z/8|P580|+1908-01-01T00:00:00Z/9|P582|+1915-01-01T00:00:00Z/9,,,Q155,@-22.95286/-43.17088|P2044|7.63724U11573|P7787|155.95942U28390|P8208|91.22692U28390,,,,Q55088608,Q85621807,Q71989864,002080RJN0715,Q172984,45.0U28390,110U174789,45U174789,90819
,Q125191,Q35158,"Lapa vista de Santa Teresa; ao fundo, os Arcos da Lapa",Fotografia de Guilherme Santos,Photograph by Guilherme Santos,+1920-01-01T00:00:00Z/8|P580|+1915-01-01T00:00:00Z/9|P582|+1925-01-01T00:00:00Z/9,,,Q155,@-22.9163/-43.1827|P2044|50.57626U11573|P7787|42.31428U28390|P8208|90.02008U28390,,,,Q55088608,Q85621807,Q71989864,002080RJN0717,Q172984,45.0U28390,110U174789,45U174789,90820
,Q125191,Q35158,Bairro do Catete,Fotografia de Guilherme Santos (002080RJN0901),Photograph by Guilherme Santos (002080RJN0901),+1920-01-01T00:00:00Z/8|P580|+1915-01-01T00:00:00Z/9|P582|+1925-01-01T00:00:00Z/9,,,Q155,@-22.92514/-43.17524|P2044|22.99676U11573|P7787|-129.03824U28390|P8208|93.08791U28390,,,,Q55088608,Q85621807,Q71989864,002080RJN0901,Q172984,45.09U28390,110U174789,45U174789,83625
,Q125191,Q35158,Bairro do Catete; palmeiras ao fundo,Fotografia de Guilherme Santos (002080RJN0902),Photograph by Guilherme Santos (002080RJN0902),+1920-01-01T00:00:00Z/8|P580|+1915-01-01T00:00:00Z/9|P582|+1925-01-01T00:00:00Z/9,,,Q155,@-22.92523/-43.17461|P2044|39.86989U11573|P7787|167.44061U28390|P8208|82.18177U28390,,,,Q55088608,Q85621807,Q71989864,002080RJN0902,Q172984,45.0U28390,110U174789,45U174789,83629
,Q125191,Q35158,Bairro do Catete; palmeiras ao fundo,Fotografia de Guilherme Santos (002080RJN0903),Photograph by Guilherme Santos (002080RJN0903),+1920-01-01T00:00:00Z/8|P580|+1915-01-01T00:00:00Z/9|P582|+1925-01-01T00:00:00Z/9,,,Q155,@-22.92514/-43.17524|P2044|26.68426U11573|P7787|-154.51644U28390|P8208|89.46834U28390,,,,Q55088608,Q85621807,Q71989864,002080RJN0903,Q172984,45.0U28390,110U174789,45U174789,83627
,Q125191,Q35158,Bairro do Catete; palmeiras ao fundo,Fotografia de Guilherme Santos (002080RJN0904),Photograph by Guilherme Santos (002080RJN0904),+1920-01-01T00:00:00Z/8|P580|+1915-01-01T00:00:00Z/9|P582|+1925-01-01T00:00:00Z/9,,,Q155,@-22.92511/-43.17526|P2044|27.29729U11573|P7787|130.70562U28390|P8208|84.50936U28390,,,,Q55088608,Q85621807,Q71989864,002080RJN0904,Q172984,45.0U28390,110U174789,45U174789,83626
,Q125191,Q35158,Bairro do Catete,Fotografia de Guilherme Santos (002080RJN0905),Photograph by Guilherme Santos (002080RJN0905),+0001-01-01T00:00:00Z/8|P580|+1910-01-01T00:00:00Z/9|P582|+1958-01-01T00:00:00Z/9,,,Q155,@-22.92508/-43.17517|P2044|26.0978U11573|P7787|-125.61321U28390|P8208|88.52708U28390,,,,Q55088608,Q85621807,Q71989864,002080RJN0905,Q172984,45.0U28390,110U174789,45U174789,83630
,Q125191,Q35158,Pão de Açúcar,Fotografia de Guilherme Santos,Photograph by Guilherme Santos,+1920-01-01T00:00:00Z/8|P580|+1915-01-01T00:00:00Z/9|P582|+1925-01-01T00:00:00Z/9,,,Q155,@-22.94806/-43.18059|P2044|16.8405U11573|P7787|91.63037U28390|P8208|101.0885U28390,,,,Q55088608,Q85621807,Q71989864,002080RJN0906,Q172984,45.0U28390,110U174789,45U174789,83628
