Document ID[19474],Title[19462],Creator[1603501],Description (Portuguese)[1612567],Date[19486],First Year[19466],Last Year[19467],Type[1604106],Collections[1711006],Provider[1731287],Material[1612569],Fabrication Method[1612568],Rights[1861241],Required Statement[19484],Width[1604102],Height[1604103],Document URL[796463],Media URL
001ACL017029,Praia de Botafogo,Georges Leuzinger,"Vista da Praia de Botafogo e seu rico casario. Podemos ver ao fundo os morros do Corcovado e Dois Irmãos e a Pedra da Gávea.Integra o álbum ""Rio de Janeiro e seus arredores"" formado por 42 fotografias do Rio de Janeiro, de Petrópolis, da Amazônia e 5 reproduções fotográficas de gravuras europeias. É possível que as fotografias da Amazônia, por Albert Frisch e as reproduções de gravuras não sejam parte do álbum original, tendo sido inseridas posteriormente.",circa 1865,1865,1870,Photograph,Views,Instituto Moreira Salles,,Albumine,,Provided by Instituto Moreira Salles,240,192,http://acervos.ims.com.br/portals/#/detailpage/105514,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001ACL017029/full/max/0/default.jpg
001ACL019030,Vista do bairro portuário da Gamboa,Georges Leuzinger,"Integra o ""Álbum da Família Leuzinger"" formado por 162 itens diversos.",circa 1865,1860,1870,Photograph,Views,Instituto Moreira Salles,,Albumine,,Provided by Instituto Moreira Salles,384,274,http://acervos.ims.com.br/portals/#/detailpage/107549,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001ACL019030/full/max/0/default.jpg
001AN02001001,Palácio da Princesa Isabel,Autoria não identificada,"Fachada do Palácio Guanabara (antigo Palácio Isabel). A edificação original, adquirida do comerciante português José Machado Coelho, foi reformada pelo arquiteto J.M.Jacinto Rebelo para tornar-se residência da Princesa Isabel  e do Conde D'Eu à época de seu casamento, em 1864, até 1889, data da partida da família real para o exílio na França. Ampliada e adaptada ao gosto da arquitetura eclética, em 1908, para receber o rei de Portugal, D.Carlos I, que viria para a comemoração do Centenário da Abertura dos Portos, foi residência presidencial (sob o General Dutra, foi erguida a capela nos seus jardins e, a partir de 1960 passou a ser sede do governo estadual).",circa 1885,1880,1889,Photograph,Views,Instituto Moreira Salles,,Gelatin Silver,,Provided by Instituto Moreira Salles,134,65,http://acervos.ims.com.br/portals/#/detailpage/19351,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AN02001001/full/max/0/default.jpg
001AN30001003,Palácio Monroe,,,circa 1912,1912,1917,Photograph,Views,Instituto Moreira Salles,Photomechanical Print,Collotype Print,,Provided by Instituto Moreira Salles,138,90,http://acervos.ims.com.br/portals/#/detailpage/105515,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AN30001003/full/max/0/default.jpg
001AN36001,Enseada de Botafogo e Avenida Beira-Mar; a partir do Morro da Viúva,Autoria não identificada,,circa 1915,1910,1920,Photograph,Views,Instituto Moreira Salles,Photomechanical Print,Gelatin Silver,,Provided by Instituto Moreira Salles,133,80,http://acervos.ims.com.br/portals/#/detailpage/105516,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AN36001/full/max/0/default.jpg
001BO001005,Passeio Público,,,circa 1912,1912,1917,Photograph,Views,Instituto Moreira Salles,Photomechanical Print,Collotype Print,,Provided by Instituto Moreira Salles,138,88,http://acervos.ims.com.br/portals/#/detailpage/105517,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001BO001005/full/max/0/default.jpg
001BO001006,Teatro Municipal,,,circa 1912,1912,1917,Photograph,Views,Instituto Moreira Salles,Photomechanical Print,Collotype Print,,Provided by Instituto Moreira Salles,138,89,http://acervos.ims.com.br/portals/#/detailpage/105518,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001BO001006/full/max/0/default.jpg
001BO001007,"Palácio Monroe e Obelisco Comemorativo pela conclusão da Avenida Central, atual Avenida Rio Branco",,,circa 1912,1912,1917,Photograph,Views,Instituto Moreira Salles,Photomechanical Print,Collotype Print,,Provided by Instituto Moreira Salles,138,89,http://acervos.ims.com.br/portals/#/detailpage/105519,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001BO001007/full/max/0/default.jpg
001BO001008,Biblioteca Nacional,,,circa 1912,1912,1917,Photograph,Views,Instituto Moreira Salles,Photomechanical Print,Collotype Print,,Provided by Instituto Moreira Salles,138,89,http://acervos.ims.com.br/portals/#/detailpage/105520,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001BO001008/full/max/0/default.jpg
001BO002,Enseada de Botafogo e Urca vistos do morro do Pão de Açúcar,Autoria não identificada,,circa 1919,1914,1919,Photograph,Views,Instituto Moreira Salles,Photomechanical Print,Collotype Print,,Provided by Instituto Moreira Salles,132,86,http://acervos.ims.com.br/portals/#/detailpage/80419,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001BO002/full/max/0/default.jpg
