Document ID,Title,Creator,Description (Portuguese),Date,First Year,Last Year,Type,Collection,Provider,Material,Fabrication Method,Rights,Required Statement,Width,Height,Document URL,Media URL
001AAN005121,Vista do Pão de Açúcar,Autoria não identificada,"O Pão de Açúcar visto da entrada da Barra. Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",circa 1910,1905,1915,Photograph,Views,Instituto Moreira Salles,,Gelatin Silver,,Provided by Instituto Moreira Salles,141,83,http://acervos.ims.com.br/portals/#/detailpage/79130,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AAN005121/full/max/0/default.jpg
001AAN005122,Ilha Fiscal,Autoria não identificada,"Vista da Ilha Fiscal. Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",circa 1910,1908,1909,Photograph,Views,Instituto Moreira Salles,,Gelatin Silver,,Provided by Instituto Moreira Salles,141,83,http://acervos.ims.com.br/portals/#/detailpage/79131,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AAN005122/full/max/0/default.jpg
001AAN005123,Ilha das Cobras,Autoria não identificada,"Ilha das Cobras vista da baía. Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",circa 1910,1905,1915,Photograph,Views,Instituto Moreira Salles,,Gelatin Silver,,Provided by Instituto Moreira Salles,141,83,http://acervos.ims.com.br/portals/#/detailpage/79132,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AAN005123/full/max/0/default.jpg
001AAN005124,Rua Primeiro de Março,Autoria não identificada,"Vista da rua Primeiro de Março, com a igreja do Carmo ao fundo. Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",circa 1910,1905,1915,Photograph,Views,Instituto Moreira Salles,,Gelatin Silver,,Provided by Instituto Moreira Salles,141,83,http://acervos.ims.com.br/portals/#/detailpage/79133,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AAN005124/full/max/0/default.jpg
001AAN005125,Quartel Central do Corpo de Bombeiros,Autoria não identificada,"Vista de edificações que compõem o Corpo de Bombeiros. Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",circa 1910,1905,1915,Photograph,Views,Instituto Moreira Salles,,Gelatin Silver,,Provided by Instituto Moreira Salles,141,83,http://acervos.ims.com.br/portals/#/detailpage/79134,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AAN005125/full/max/0/default.jpg
001AAN005126,Quartel Central do Corpo de Bombeiros,Autoria não identificada,"Aspecto de uma das edificações do Corpo de Bombeiros. Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",circa 1910,1905,1915,Photograph,Views,Instituto Moreira Salles,,Gelatin Silver,,Provided by Instituto Moreira Salles,141,83,http://acervos.ims.com.br/portals/#/detailpage/79135,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AAN005126/full/max/0/default.jpg
001AAN005127,Quartel Central do Corpo de Bombeiros,Autoria não identificada,"Vista das edificações que compõem o Corpo de Bombeiros. Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",circa 1910,1905,1915,Photograph,Views,Instituto Moreira Salles,,Gelatin Silver,,Provided by Instituto Moreira Salles,141,83,http://acervos.ims.com.br/portals/#/detailpage/79136,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AAN005127/full/max/0/default.jpg
001AAN005128,Fachada do Theatro Municipal,Autoria não identificada,"Em estilo eclético, o Theatro Municipal foi desenhado por Francisco de Oliveira Passos, engenheiro e  filho do prefeito Pereira Passos. Foi inaugurado em 1909, como parte do conjunto arquitetônico das Obras de Reurbanização da Cidade do Rio de Janeiro, durante a prefeitura de Pereira Passos. Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",circa 1910,1905,1915,Photograph,Views,Instituto Moreira Salles,,Gelatin Silver,,Provided by Instituto Moreira Salles,141,83,http://acervos.ims.com.br/portals/#/detailpage/79129,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AAN005128/full/max/0/default.jpg
001AAN005129,Palácio Monroe,Autoria não identificada,"Fachada do Palácio Monroe, antiga sede do Senado Federal. Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",circa 1910,1905,1915,Photograph,Views,Instituto Moreira Salles,,Gelatin Silver,,Provided by Instituto Moreira Salles,141,83,http://acervos.ims.com.br/portals/#/detailpage/79137,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AAN005129/full/max/0/default.jpg
001AAN005135,"Palácio Amarelo, em primeiro plano o Chafariz da Águia.",Autoria não identificada,"Vista do Palácio Municipal, atual prefeitura de Petrópolis. Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",circa 1910,1905,1915,Photograph,Views,Instituto Moreira Salles,,Gelatin Silver,,Provided by Instituto Moreira Salles,141,83,http://acervos.ims.com.br/portals/#/detailpage/79138,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AAN005135/full/max/0/default.jpg
