Source ID,Title,Creator,Description (English),Description (Portuguese),Date,First Year,Last Year,Type,Item Set,Source,Source URL,Materials,Fabrication Method,Rights,License,Attribution,Width (mm),Height (mm),Latitude,Longitude,Depicts,Wikidata ID,Smapshot ID,Media URL
001AAN005121,Vista do Pão de Açúcar,Anônimo,,"O Pão de Açúcar visto da entrada da Barra. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",01-01-1910,1905,1915,Photograph,all||views,Instituto Moreira Salles,http://acervos.ims.com.br/portals/#/detailpage/79130,Photographic print,Silver gelatin,,,,141.0,83.0,-22.94609,-43.14191,http://www.wikidata.org/entity/Q224101 Baía de Guanabara,Q65620090,,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001AAN005121.jpg
001AAN005122,Ilha Fiscal,Anônimo,,"Vista da Ilha Fiscal. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",01-01-1910,1908,1909,Photograph,all||views,Instituto Moreira Salles,http://acervos.ims.com.br/portals/#/detailpage/79131,Photographic print,Silver gelatin,,,,141.0,83.0,-22.89495,-43.16647,,Q65620091,,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001AAN005122.jpg
001AAN005123,Ilha das Cobras,Anônimo,,"Ilha das Cobras vista da baía. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",01-01-1910,1905,1915,Photograph,all||views,Instituto Moreira Salles,http://acervos.ims.com.br/portals/#/detailpage/79132,Photographic print,Silver gelatin,,,,141.0,83.0,-22.89405,-43.166000000000004,http://www.wikidata.org/entity/Q224101 Baía de Guanabara,Q65620092,,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001AAN005123.jpg
001AAN005124,Rua Primeiro de Março,Anônimo,,"Vista da rua Primeiro de Março, com a igreja do Carmo ao fundo. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",01-01-1910,1905,1915,Photograph,all||views,Instituto Moreira Salles,http://acervos.ims.com.br/portals/#/detailpage/79133,Photographic print,Silver gelatin,,,,141.0,83.0,-22.90131,-43.17648,http://www.wikidata.org/entity/Q2946148 Centro,Q65620093,,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001AAN005124.jpg
001AAN005125,Quartel Central do Corpo de Bombeiros,Anônimo,,"Vista de edificações que compõem o Corpo de Bombeiros. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",01-01-1910,1905,1915,Photograph,all||views,Instituto Moreira Salles,http://acervos.ims.com.br/portals/#/detailpage/79134,Photographic print,Silver gelatin,,,,141.0,83.0,-22.90943,-43.18734,,Q65620094,,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001AAN005125.jpg
001AAN005126,Quartel Central do Corpo de Bombeiros,Anônimo,,"Aspecto de uma das edificações do Corpo de Bombeiros. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",01-01-1910,1905,1915,Photograph,all||views,Instituto Moreira Salles,http://acervos.ims.com.br/portals/#/detailpage/79135,Photographic print,Silver gelatin,,,,141.0,83.0,-22.90911,-43.18754000000001,,Q65620095,,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001AAN005126.jpg
001AAN005127,Quartel Central do Corpo de Bombeiros,Anônimo,,"Vista das edificações que compõem o Corpo de Bombeiros. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",01-01-1910,1905,1915,Photograph,all||views,Instituto Moreira Salles,http://acervos.ims.com.br/portals/#/detailpage/79136,Photographic print,Silver gelatin,,,,141.0,83.0,-22.90903,-43.18748,,Q65621321,,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001AAN005127.jpg
001AAN005128,Fachada do Teatro Municipal,Anônimo,,"Em estilo eclético, o Teatro Municipal foi desenhado por Francisco de Oliveira Passos, engenheiro e  filho do prefeito Pereira Passos. Foi inaugurado em 1909, como parte do conjunto arquitetônico das Obras de Reurbanização da Cidade do Rio de Janeiro, durante a prefeitura de Pereira Passos. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",01-01-1910,1905,1915,Photograph,all||views,Instituto Moreira Salles,http://acervos.ims.com.br/portals/#/detailpage/79129,Photographic print,Silver gelatin,,,,141.0,83.0,-22.90958,-43.17619000000001,http://www.wikidata.org/entity/Q4828121 Avenida Rio Branco,Q65620097,,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001AAN005128.jpg
001AAN005129,Palácio Monroe,Anônimo,,"Fachada do Palácio Monroe, antiga sede do Senado Federal. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",01-01-1910,1905,1915,Photograph,all||views,Instituto Moreira Salles,http://acervos.ims.com.br/portals/#/detailpage/79137,Photographic print,Silver gelatin,,,,141.0,83.0,-22.91158,-43.17545,http://www.wikidata.org/entity/Q4828121 Avenida Rio Branco,Q65620098,,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001AAN005129.jpg
001AAN005130,Ilha de Paquetá,Anônimo,,"Vista da Ilha de Paquetá. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",01-01-1910,1905,1915,Photograph,all||views,Instituto Moreira Salles,,Photographic print,Silver gelatin,,,,141.0,83.0,,,,,,
